name,meaning,Special Occasions,scientific_name
Morning Glory,"ipomoea comes from the latin prefix ip meaning worm and homolas which means like. so this beautiful flower was name after it’s growth habit which is worm like. symbolism of the morning glory the morning glory has a number of meanings. the chinese folklore of this flower symbolizes that lovers may only meet on one special day out of the year. the story behind this is that two young people fell deeply in love neglecting all of their responsibilities. as more and more chores were ignored the heavens started to rumble with the gods dissatisfaction. so, they decreed that the lovers could meet just one day out of the year. morning glories also mean unrequited love. they can be found in victorian literature and on victorian gravestones to signify a love that never ended. conversely, it can mean that a potential love was never reciprocated. christians believed that the morning glory related directly to the finite nature of life on earth, each single flower representing one life and life being represented by the daylight hours of the sun, withering and finally dying by nightfall. morning glory flower color meanings morning glory flowers can be found in blue, purple, red, white and yellow and variations of these colors. some can be eight inches across; these are actually the familiar fragrant moon flowers found in many gardens. the color meaning of white symbolizes purity in the the morning glory while red symbolizes a strong heart. meaningful botanical characteristics of the morning glory flower morning glory seeds are used in chinese medicine to treat disorders of the lungs, kidneys and large intestine. they have a purgative effect and can reduce or clear phlem in the lungs. they can act as a diuretic for the kidneys which reduces swelling in the body. (2)if morning glory seeds are eaten a person could have a hallucinogenic episode similar to a lsd experience. the active ingredients in morning glory seeds are lysergic acid amide, a close relative to lsd. if necessary, the morning glory can be used to induce labor during pregnancy. the morning glory seeds were used in mexican culture in religious ceremonies to induce a dream like state in order to better commune with the gods. morning glories can be toxic and will cause nerve damage in larger doses than recommended. the flower and it’s stems, leaves and seeds must be used with great caution. the morning glory root was used by native americans to make a tea which was especially effective for coughs because of it’s ability to remove phlem. the leaves were powdered and dried and made into a tea to treat stomach problems and headaches. (3) morning glory wine can be made from the flower petals if they are soaked in purified cold water for about two weeks. the morning glory flower interesting facts one variety, the ipomoea quamoclit has cypress like leaves that are finely cut instead of the typical heart shaped leaves found on most ipomoeas the ipomoea lobata variety has red elongated flowers – that are a closed tubular form, not funnel or start shaped. there are about five to a stem that start out pure red then progressively get lighter and larger as you get closer to the bottom of the stem. the leaves are the heart shaped leaves of many morning glories the sweet potato is in the ipomoea family of plants offer the morning glory on these occasions i would offer the morning glory as a symbol to a person who needs some tenacity to go after their dreams. morning glories take each twist and turn in the road (or on the trellis!) in their stride and just keep on going. this is the key to their success. morning glories are also the birth flower for those born in september. i would offer them for september birthdays either as a potted plant or maybe a diary with an embossed design of a morning glory on it. the morning glory flower’s message tenacity and tenderness in all things, be gentle but strong in your endeavors with other people, animals and nature. above all hold fast to your goals.",,
Myrtle Flower.Txt,the myrtle flower meaning is similar across culture cultures and across the centuries. it typically means: good luck in love in marriage chastity marital fidelity good luck prosperity,"myrtle flowers are appropriate for weddings, communions and christenings as they are a symbol for both fidelity and love and for chastity. when added to other flowers they can be used for nearly any occasion to wish the recipient luck and prosperity. the myrtle flower’s message is… the myrtle flower’s message is primarily one of love, making it a favorite for bridal bouquets and wedding arrangements. although they are not the official birth flower of any particular month, they are also suitable or birthday bouquets.",
Narcissus,"since both narcissus and daffodils are technically the same flower, their meanings overlap as well. these flowers are usually considered a symbol of: prosperity and wealth, especially in the future march birthdays, as the birth flower of the month the arrival of spring rebirth and renewal good luck and happiness future misfortune narcissism and egotism the austerity and challenges of lent clarity and inspiration the chinese new year not all of the narcissus meanings are strictly positive. you can tell a friend you’re hoping for their success with a potted plant, or you can warn them about an ego that’s growing out of control.","there’s a flower for every occasion. pick a few daffodils or narcissus for events like: cheering up a friend or family member after loss reminding someone that spring is on its way encouraging recovery from an illness or period of depression graduation or a first job, due to the association with gaining wealth in the future baby showers and birth celebrations the narcissus flower’s message is… nothing bad can last forever because spring is always just around the corner. you can recover from anything if you focus on the positive, and good things are already on their way to you.",
Orchid,the orchid has been held in high regard since ancient times. it symbolizes love beauty fertility refinement thoughtfulness charm,,
Peace Flower.Txt,"even though the meanings behind the various flowers have largely fallen out of common knowledge, it’s still possible to bring this nostalgic practice to modern relationships. a full bouquet. nothing says grand gesture like sending someone a full bouquet at home or work. try mixing a few other flowers with relevant meanings in for a special touch. a single flower. leaving a single bloom of one of these flowers for the recipient to find is an understated take on this tradition. a live plant. giving someone a live plant that represents peace means they can plant the flower and be reminded of peace and your thoughtfulness every time they see it.",,
Peony,"the peony is mainly known for representing ideas and values like: honor, especially for people who are bringing honor to their entire family through success wealth and riches romance and romantic love, with a particular focus on love between two strangers beauty in all forms bashfulness and shame",,Paeonia
Periwinkle Flower.Txt,"the common periwinkle evokes feelings of blossoming friendship that is still in its first stages reminiscing about pleasant memories shared with a friend or relative reaching your full potential and achieving your dreams existence throughout eternity, and extending your time with what you love everlasting love the purity and strength of the virgin mary.",,
Petunia.Txt,"the meaning of petunias can be contradictory, leading to some confusion – but remember the meaning of any flower depends on the circumstances and the relationship between the giver and the recipient. petunia flower meaning is also affected by the color of the flowers. some commonly accepted meanings for petunia flowers include: anger resentment being with you is soothing","potted petunias are appropriate for housewarmings or as hostess gifts. they are often presented at mother’s day or other spring celebrations. they are appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as the plants will produce abundant flowers from spring until frost. the petunia flower’s message is… the petunia flower’s message depends on the circumstances. they make a thoughtful gift for those who enjoy outside flowers, but are not practical for an inside display for more than a few days. consider potted petunias as hostess gifts or present them to someone who has just moved into the neighborhood.",
Plumeria,"the plumeria flower has a rich history that includes a wide variety of meanings, including: charm grace new life or birth new beginnings or creation spring beauty",,
Poppy,"for many cultures, the poppy is a symbol of: restful sleep and recovery consolation for a loss or death in the family remembering the fallen of various wars and armed conflicts a lively imagination peace in death messages delivered in dreams resurrection and eternal life beauty and success extravagance and luxury the symbolism of the poppy varies greatly from country to country, but most of them share at least one or two common meanings for this particular flower.","since the flowers are large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give the gift of the poppy for occasions like: funerals and memorial services, especially for soldiers that pass away while serving or veterans encouraging better sleep in friends and family members experiencing insomnia making an offering to the dead by leaving the flowers on graves or tombs sending a sign of your love to a spouse or romantic interest setting up a luxurious atmosphere for a specific event the poppy flower’s message is… remember those who have passed away to protect you and all that you love. develop your own sense of inner peace so you can rest at night and get all the sleep you need. honor the dead and cultivate your imagination for a richer life.",Papaver
Protea,"what the protea flower means depends on the circumstances and the relationship between the giver and receiver, but there are some commonly agreed upon meanings for the protea flower. diversity daring transformation courage","some varieties of protea flowers make a delightful backdrop for other more showy flowers, while some take center stage as a cut flower. they can be used in bridal bouquets or wedding décor, at special celebrations, and for birthdays and other special events. the protea flower’s message varies according to the setting, but one thing is for sure, these striking flowers aren’t likely to be forgotten. to make a lasting impression, try adding protea flowers to floral displays and arrangements or send them to that special someone on your list.",
Ranunculus Flower.Txt,"while many flowers have multiple meanings, the ranunculus flower does not. it means: radiant charm you are charming you are attractive",,
Rose,"the rose has many meanings which vary depending on its color. however any rose can be commonly seen as a symbol of: love honor faith beauty balance passion wisdom intrigue devotion sensuality timelessness in addition to being one of the most popular flowers commercialized and grown today, you will often find rose tattoos on women and men as an expression of timeless beauty and other vivid meanings.",,Rosa
Sampaguita,"love fidelity devotion dedication purity divine hope the sampaguita flower is considered the flower of love in many south asian countries, indonesia and the philippines. it is used in wedding and religious ceremonies to symbolize love, devotion, purity and divine hope.","sampaquita flowers are appropriate for weddings and other religious ceremonies, but can also be included in floral bouquets presented to mothers, grandmothers and close female friends to express love and dedication. a bouquet of sampaquita flowers in the bedroom or dining area sets the mood for love and romance. the sampaguita flower’s message is: the sampaguita flower’s message is one of love and devotion and are sure to be appreciated by the special women in your life.",Jasminum sambac
Snapdragon,"snapdragons possess two meanings. this is similar to the mythical creature they resemble, revered in some cultures and feared in others: a snapdragon means grace and, due to its growth in rocky areas, strength. however, it can also symbolize deviousness.",,Antirrhinum
Snowdrop,the snowdrop flower has several meanings depending on the context. the most common meanings are: purity hope rebirth consolation or sympathy,"snowdrops are appropriate either as an expression of sympathy or as an expression of celebration. when presented to a wedding party, a floral display with snowdrops speaks of optimism and hope. they symbolize sympathy when given on a solemn occasion such as after death, loss or misfortune. the snowdrop flower’s message is: the snowdrop flower’s message is typically positive, signifying hope, rebirth and a bright future.",
Star Of Bethlehem Meaning.Txt,"the star of bethlehem flower is associated with the birth of christ and symbolizes the traits of jesus. innocence purity honesty hope forgiveness it is often used in religious ceremonies as a symbol of the christ child, but it can be used for other occasions, too.","the star of bethlehem flower is appropriate in nearly any floral arrangement from weddings and christenings to birthdays and anniversaries. the star of bethlehem flower’s message is… the star of bethlehem flower’s message carries with it hope for the future, innocence, purity, trust and honesty making it an ideal flower for adding to wedding décor and bridal bouquets.",
Stargazer Meaning.Txt,,"aside from a 30th anniversary, you should also invest in a bunch of stargazers when your family home needs a breath of fresh air due to a pessimistic atmosphere. keep a fresh vase of the flowers on your desk at work to stay motivated when working towards your future. finally, consider using this bloom to celebrate the graduation of a high school or college student. the stargazer flower’s message is… the stargazer flower’s message is to keep your eyes on the heavens instead of always staring at the ground. stay positive and watch as the world changes around you.",
Statice.Txt,"the meaning of the statice flower depends on the occasion or event, but there are some commonly accepted meanings for statice. remembrance sympathy success statice’s primary meaning is one of remembrance, making it a common flower in memorial wreaths and bouquets.","statice is a versatile flower that is appropriate for nearly any occasion, particularly when used as a filler in mixed floral arrangements. these flowers work well for reunions, get-togethers among old friends or for birthdays and other celebrations. they are common in funeral flowers or for memorial services, but they don’t need to be part of a solemn event, as they symbolize success as well as remembrance. tucked into floral arrangements to add delicate color, these flowers are right at home in office bouquets or for special events like graduations and other achievements. the statice flower’s message the statice flower’s message varies depending on the circumstances. while it can express sympathy and fond memories, it can also be a symbol for success. use the meaning of flower colors and the other flowers in the arrangement to guide you in choosing in a bouquet with statice flowers.",
Stock Flower.Txt,"the stock flower attracts attention for both its distinctive blossoms and the delicate and wonderful scent it releases. aside from its physical characteristics, this plant is popular as a symbol of a long life full of happiness and success contentment with your life the way it is right now beauty that doesn’t fade with age or time achieving paradise on earth dedicating oneself to a life of spiritual purity connecting with the world as one.","stock is ideal for first communions weddings anniversaries and birthdays positive life changes like relocations and new children. the stock flower’s message is… enjoy the life you have before it is gone. love and beauty and both eternal, if you believe in them.",
Tulip,"while it’s not the fanciest flower in the garden, the beauty and grace of a simple tulips means the flower has become a symbol for meanings like: perfect, enduring love between partners or family members undying passionate love, whether the passion is spurned or returned royalty and a regal nature forgotten or neglected love the 11th wedding anniversary abundance, prosperity, and indulgence charity and supporting the less fortunate",,Tulipa
Wisteria Flower.Txt,"wisteria has been growing in the eastern us and asia for centuries now, so it has accumulated plenty of contrasting and complementing meanings. some people believe the wisteria symbolizes good luck, especially for the start of a business or a new marriage welcoming someone to a new town or home celebrating the youthful vitality of a young friend or child expressing your affections after meeting someone special for the first time serious devotion, whether it’s to a cause or another person new births and spring birthdays wisteria isn’t a specific birth flower for any of the months, but many people associate it with march and april because it blooms during those months.","celebrate a new family member by sending in a bundle of blossoms, or give a blue wisteria as the “something blue” for the wedding tradition. the wisteria flower’s message is… the wisteria flower’s message is let good luck make your adventures go a little smoother. celebrate the new beginnings in life instead of focusing on the endings.",
Zinnia,"the zinnia flower has several meanings including thoughts of friends, endurance, daily remembrance, goodness and lasting affection. the victorian meaning of zinnias is thoughts of an absent friend of the heart lasting affection daily remembrance",,Zinnia
