name,scientific_name,color,planttype,maintenance,meaning,Special Occasions
Periwinkle,Vinca,white,"Perennials, Shrubs",low,"the common periwinkle evokes feelings of blossoming friendship that is still in its first stages reminiscing about pleasant memories shared with a friend or relative reaching your full potential and achieving your dreams existence throughout eternity, and extending your time with what you love everlasting love the purity and strength of the virgin mary.","Here are a few perfect occasions: To express support after a loss or during a tough time To celebrate a long-lasting friendship or relationship As part of a memory bouquet, honouring someone who’s passed To encourage someone who feels overlooked or in need of reassurance To remind a loved one that they’re always in your thoughts"
Petunia,Petunia,blue,"Annuals, Perennials",low,"the meaning of petunias can be contradictory, leading to some confusion – but remember the meaning of any flower depends on the circumstances and the relationship between the giver and the recipient. petunia flower meaning is also affected by the color of the flowers. some commonly accepted meanings for petunia flowers include: anger resentment being with you is soothing","potted petunias are appropriate for housewarmings or as hostess gifts. they are often presented at mother’s day or other spring celebrations. they are appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as the plants will produce abundant flowers from spring until frost. the petunia flower’s message is… the petunia flower’s message depends on the circumstances. they make a thoughtful gift for those who enjoy outside flowers, but are not practical for an inside display for more than a few days. consider potted petunias as hostess gifts or present them to someone who has just moved into the neighborhood."
Petunia,Petunia,pink,"Annuals, Perennials",low,"the meaning of petunias can be contradictory, leading to some confusion – but remember the meaning of any flower depends on the circumstances and the relationship between the giver and the recipient. petunia flower meaning is also affected by the color of the flowers. some commonly accepted meanings for petunia flowers include: anger resentment being with you is soothing","potted petunias are appropriate for housewarmings or as hostess gifts. they are often presented at mother’s day or other spring celebrations. they are appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as the plants will produce abundant flowers from spring until frost. the petunia flower’s message is… the petunia flower’s message depends on the circumstances. they make a thoughtful gift for those who enjoy outside flowers, but are not practical for an inside display for more than a few days. consider potted petunias as hostess gifts or present them to someone who has just moved into the neighborhood."
Petunia,Petunia,purple,"Annuals, Perennials",low,"the meaning of petunias can be contradictory, leading to some confusion – but remember the meaning of any flower depends on the circumstances and the relationship between the giver and the recipient. petunia flower meaning is also affected by the color of the flowers. some commonly accepted meanings for petunia flowers include: anger resentment being with you is soothing","potted petunias are appropriate for housewarmings or as hostess gifts. they are often presented at mother’s day or other spring celebrations. they are appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as the plants will produce abundant flowers from spring until frost. the petunia flower’s message is… the petunia flower’s message depends on the circumstances. they make a thoughtful gift for those who enjoy outside flowers, but are not practical for an inside display for more than a few days. consider potted petunias as hostess gifts or present them to someone who has just moved into the neighborhood."
Petunia,Petunia,red,"Annuals, Perennials",low,"the meaning of petunias can be contradictory, leading to some confusion – but remember the meaning of any flower depends on the circumstances and the relationship between the giver and the recipient. petunia flower meaning is also affected by the color of the flowers. some commonly accepted meanings for petunia flowers include: anger resentment being with you is soothing","potted petunias are appropriate for housewarmings or as hostess gifts. they are often presented at mother’s day or other spring celebrations. they are appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as the plants will produce abundant flowers from spring until frost. the petunia flower’s message is… the petunia flower’s message depends on the circumstances. they make a thoughtful gift for those who enjoy outside flowers, but are not practical for an inside display for more than a few days. consider potted petunias as hostess gifts or present them to someone who has just moved into the neighborhood."
Petunia,Petunia,white,"Annuals, Perennials",low,"the meaning of petunias can be contradictory, leading to some confusion – but remember the meaning of any flower depends on the circumstances and the relationship between the giver and the recipient. petunia flower meaning is also affected by the color of the flowers. some commonly accepted meanings for petunia flowers include: anger resentment being with you is soothing","potted petunias are appropriate for housewarmings or as hostess gifts. they are often presented at mother’s day or other spring celebrations. they are appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as the plants will produce abundant flowers from spring until frost. the petunia flower’s message is… the petunia flower’s message depends on the circumstances. they make a thoughtful gift for those who enjoy outside flowers, but are not practical for an inside display for more than a few days. consider potted petunias as hostess gifts or present them to someone who has just moved into the neighborhood."
Petunia,Petunia,yellow,"Annuals, Perennials",low,"the meaning of petunias can be contradictory, leading to some confusion – but remember the meaning of any flower depends on the circumstances and the relationship between the giver and the recipient. petunia flower meaning is also affected by the color of the flowers. some commonly accepted meanings for petunia flowers include: anger resentment being with you is soothing","potted petunias are appropriate for housewarmings or as hostess gifts. they are often presented at mother’s day or other spring celebrations. they are appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as the plants will produce abundant flowers from spring until frost. the petunia flower’s message is… the petunia flower’s message depends on the circumstances. they make a thoughtful gift for those who enjoy outside flowers, but are not practical for an inside display for more than a few days. consider potted petunias as hostess gifts or present them to someone who has just moved into the neighborhood."
Pinks,dianthus,pink,Annuals,low,"Fascination; Female love; Mother’s love; Affection; what a carnation means depends on the circumstances and the color symbolism of the bloom, but there are some common meanings that apply to all carnations. love fascination distinction","carnations are appropriate for nearly any occasion, as they are a symbol of both love and distinction. carnation in the school colors are often presented to graduates or recipients of academic and sports awards. pink carnations are popular for mother’s day while the green carnation is prized on st. patrick’s day. the carnation flower’s message is… the carnation flower’s message is as individual as the recipient is. while they all symbolize love, distinction and fascination, you can tailor your message by the color you choose."
Pinks,dianthus,purple,Annuals,low,"Fascination; Female love; Mother’s love; Affection; what a carnation means depends on the circumstances and the color symbolism of the bloom, but there are some common meanings that apply to all carnations. love fascination distinction","carnations are appropriate for nearly any occasion, as they are a symbol of both love and distinction. carnation in the school colors are often presented to graduates or recipients of academic and sports awards. pink carnations are popular for mother’s day while the green carnation is prized on st. patrick’s day. the carnation flower’s message is… the carnation flower’s message is as individual as the recipient is. while they all symbolize love, distinction and fascination, you can tailor your message by the color you choose."
Pinks,dianthus,red,Annuals,low,"Fascination; Female love; Mother’s love; Affection; what a carnation means depends on the circumstances and the color symbolism of the bloom, but there are some common meanings that apply to all carnations. love fascination distinction","carnations are appropriate for nearly any occasion, as they are a symbol of both love and distinction. carnation in the school colors are often presented to graduates or recipients of academic and sports awards. pink carnations are popular for mother’s day while the green carnation is prized on st. patrick’s day. the carnation flower’s message is… the carnation flower’s message is as individual as the recipient is. while they all symbolize love, distinction and fascination, you can tailor your message by the color you choose."
Pinks,dianthus,white,Annuals,low,"Fascination; Female love; Mother’s love; Affection; what a carnation means depends on the circumstances and the color symbolism of the bloom, but there are some common meanings that apply to all carnations. love fascination distinction","carnations are appropriate for nearly any occasion, as they are a symbol of both love and distinction. carnation in the school colors are often presented to graduates or recipients of academic and sports awards. pink carnations are popular for mother’s day while the green carnation is prized on st. patrick’s day. the carnation flower’s message is… the carnation flower’s message is as individual as the recipient is. while they all symbolize love, distinction and fascination, you can tailor your message by the color you choose."
poppy,papaver,orange,"Annuals, Perennials",low,"Consolation; for many cultures, the poppy is a symbol of: restful sleep and recovery consolation for a loss or death in the family remembering the fallen of various wars and armed conflicts a lively imagination peace in death messages delivered in dreams resurrection and eternal life beauty and success extravagance and luxury the symbolism of the poppy varies greatly from country to country, but most of them share at least one or two common meanings for this particular flower.","since the flowers are large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give the gift of the poppy for occasions like: funerals and memorial services, especially for soldiers that pass away while serving or veterans encouraging better sleep in friends and family members experiencing insomnia making an offering to the dead by leaving the flowers on graves or tombs sending a sign of your love to a spouse or romantic interest setting up a luxurious atmosphere for a specific event the poppy flower’s message is… remember those who have passed away to protect you and all that you love. develop your own sense of inner peace so you can rest at night and get all the sleep you need. honor the dead and cultivate your imagination for a richer life."
poppy,papaver,pink,"Annuals, Perennials",low,"Consolation; for many cultures, the poppy is a symbol of: restful sleep and recovery consolation for a loss or death in the family remembering the fallen of various wars and armed conflicts a lively imagination peace in death messages delivered in dreams resurrection and eternal life beauty and success extravagance and luxury the symbolism of the poppy varies greatly from country to country, but most of them share at least one or two common meanings for this particular flower.","since the flowers are large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give the gift of the poppy for occasions like: funerals and memorial services, especially for soldiers that pass away while serving or veterans encouraging better sleep in friends and family members experiencing insomnia making an offering to the dead by leaving the flowers on graves or tombs sending a sign of your love to a spouse or romantic interest setting up a luxurious atmosphere for a specific event the poppy flower’s message is… remember those who have passed away to protect you and all that you love. develop your own sense of inner peace so you can rest at night and get all the sleep you need. honor the dead and cultivate your imagination for a richer life."
poppy,papaver,purple,"Annuals, Perennials",low,"Consolation; for many cultures, the poppy is a symbol of: restful sleep and recovery consolation for a loss or death in the family remembering the fallen of various wars and armed conflicts a lively imagination peace in death messages delivered in dreams resurrection and eternal life beauty and success extravagance and luxury the symbolism of the poppy varies greatly from country to country, but most of them share at least one or two common meanings for this particular flower.","since the flowers are large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give the gift of the poppy for occasions like: funerals and memorial services, especially for soldiers that pass away while serving or veterans encouraging better sleep in friends and family members experiencing insomnia making an offering to the dead by leaving the flowers on graves or tombs sending a sign of your love to a spouse or romantic interest setting up a luxurious atmosphere for a specific event the poppy flower’s message is… remember those who have passed away to protect you and all that you love. develop your own sense of inner peace so you can rest at night and get all the sleep you need. honor the dead and cultivate your imagination for a richer life."
poppy,papaver,red,"Annuals, Perennials",low,"Consolation; for many cultures, the poppy is a symbol of: restful sleep and recovery consolation for a loss or death in the family remembering the fallen of various wars and armed conflicts a lively imagination peace in death messages delivered in dreams resurrection and eternal life beauty and success extravagance and luxury the symbolism of the poppy varies greatly from country to country, but most of them share at least one or two common meanings for this particular flower.","since the flowers are large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give the gift of the poppy for occasions like: funerals and memorial services, especially for soldiers that pass away while serving or veterans encouraging better sleep in friends and family members experiencing insomnia making an offering to the dead by leaving the flowers on graves or tombs sending a sign of your love to a spouse or romantic interest setting up a luxurious atmosphere for a specific event the poppy flower’s message is… remember those who have passed away to protect you and all that you love. develop your own sense of inner peace so you can rest at night and get all the sleep you need. honor the dead and cultivate your imagination for a richer life."
poppy,papaver,white,"Annuals, Perennials",low,"Consolation; for many cultures, the poppy is a symbol of: restful sleep and recovery consolation for a loss or death in the family remembering the fallen of various wars and armed conflicts a lively imagination peace in death messages delivered in dreams resurrection and eternal life beauty and success extravagance and luxury the symbolism of the poppy varies greatly from country to country, but most of them share at least one or two common meanings for this particular flower.","since the flowers are large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give the gift of the poppy for occasions like: funerals and memorial services, especially for soldiers that pass away while serving or veterans encouraging better sleep in friends and family members experiencing insomnia making an offering to the dead by leaving the flowers on graves or tombs sending a sign of your love to a spouse or romantic interest setting up a luxurious atmosphere for a specific event the poppy flower’s message is… remember those who have passed away to protect you and all that you love. develop your own sense of inner peace so you can rest at night and get all the sleep you need. honor the dead and cultivate your imagination for a richer life."
poppy,papaver,yellow,"Annuals, Perennials",low,"Consolation; for many cultures, the poppy is a symbol of: restful sleep and recovery consolation for a loss or death in the family remembering the fallen of various wars and armed conflicts a lively imagination peace in death messages delivered in dreams resurrection and eternal life beauty and success extravagance and luxury the symbolism of the poppy varies greatly from country to country, but most of them share at least one or two common meanings for this particular flower.","since the flowers are large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give the gift of the poppy for occasions like: funerals and memorial services, especially for soldiers that pass away while serving or veterans encouraging better sleep in friends and family members experiencing insomnia making an offering to the dead by leaving the flowers on graves or tombs sending a sign of your love to a spouse or romantic interest setting up a luxurious atmosphere for a specific event the poppy flower’s message is… remember those who have passed away to protect you and all that you love. develop your own sense of inner peace so you can rest at night and get all the sleep you need. honor the dead and cultivate your imagination for a richer life."
Protea,Protea,pink,"Perennials",low,"what the protea flower means depends on the circumstances and the relationship between the giver and receiver, but there are some commonly agreed upon meanings for the protea flower. diversity daring transformation courage","some varieties of protea flowers make a delightful backdrop for other more showy flowers, while some take center stage as a cut flower. they can be used in bridal bouquets or wedding décor, at special celebrations, and for birthdays and other special events. the protea flower’s message varies according to the setting, but one thing is for sure, these striking flowers aren’t likely to be forgotten. to make a lasting impression, try adding protea flowers to floral displays and arrangements or send them to that special someone on your list."
Protea,Protea,red,"Perennials",low,"what the protea flower means depends on the circumstances and the relationship between the giver and receiver, but there are some commonly agreed upon meanings for the protea flower. diversity daring transformation courage","some varieties of protea flowers make a delightful backdrop for other more showy flowers, while some take center stage as a cut flower. they can be used in bridal bouquets or wedding décor, at special celebrations, and for birthdays and other special events. the protea flower’s message varies according to the setting, but one thing is for sure, these striking flowers aren’t likely to be forgotten. to make a lasting impression, try adding protea flowers to floral displays and arrangements or send them to that special someone on your list."
Protea,Protea,white,"Perennials",low,"what the protea flower means depends on the circumstances and the relationship between the giver and receiver, but there are some commonly agreed upon meanings for the protea flower. diversity daring transformation courage","some varieties of protea flowers make a delightful backdrop for other more showy flowers, while some take center stage as a cut flower. they can be used in bridal bouquets or wedding décor, at special celebrations, and for birthdays and other special events. the protea flower’s message varies according to the setting, but one thing is for sure, these striking flowers aren’t likely to be forgotten. to make a lasting impression, try adding protea flowers to floral displays and arrangements or send them to that special someone on your list."
Protea,Protea,yellow,"Perennials",low,"what the protea flower means depends on the circumstances and the relationship between the giver and receiver, but there are some commonly agreed upon meanings for the protea flower. diversity daring transformation courage","some varieties of protea flowers make a delightful backdrop for other more showy flowers, while some take center stage as a cut flower. they can be used in bridal bouquets or wedding décor, at special celebrations, and for birthdays and other special events. the protea flower’s message varies according to the setting, but one thing is for sure, these striking flowers aren’t likely to be forgotten. to make a lasting impression, try adding protea flowers to floral displays and arrangements or send them to that special someone on your list."
Protea,Protea,orange,"Perennials",low,"what the protea flower means depends on the circumstances and the relationship between the giver and receiver, but there are some commonly agreed upon meanings for the protea flower. diversity daring transformation courage","some varieties of protea flowers make a delightful backdrop for other more showy flowers, while some take center stage as a cut flower. they can be used in bridal bouquets or wedding décor, at special celebrations, and for birthdays and other special events. the protea flower’s message varies according to the setting, but one thing is for sure, these striking flowers aren’t likely to be forgotten. to make a lasting impression, try adding protea flowers to floral displays and arrangements or send them to that special someone on your list."
Rhododendron,rhododendron,gold,"Shrubs, Trees",low,"Danger; beware; the azalea tends to represent good qualities of personalities, but it also symbolizes specific emotions or events. many people feel this flower means: remembering your home with fondness or wishing to return to it taking care of yourself and your family temperance – the victorians often carried a bloom if they supported the prohibition of alcohol, but it also represents emotional evenness passion that is still developing and fragile elegance and wealth femininity and feminine beauty abundance, especially of beauty or intelligence a death threat – only when sent in a black vase despite being an overwhelmingly positive plant, azaleas still have a dark side due to the association with death threats.","give the gift of azaleas for: birthdays falling between may 20 and june 20 celebrations for the women in your life urging temperance in someone who is going to excesses telling your family you wish you could visit home reminding someone to take care of themselves the azalea flower’s message is… care for yourself and those around you. never forget where you came from, and stay in control of your emotions and actions for success in life."
Rhododendron,rhododendron,orange,"Shrubs, Trees",low,"Danger; beware; the azalea tends to represent good qualities of personalities, but it also symbolizes specific emotions or events. many people feel this flower means: remembering your home with fondness or wishing to return to it taking care of yourself and your family temperance – the victorians often carried a bloom if they supported the prohibition of alcohol, but it also represents emotional evenness passion that is still developing and fragile elegance and wealth femininity and feminine beauty abundance, especially of beauty or intelligence a death threat – only when sent in a black vase despite being an overwhelmingly positive plant, azaleas still have a dark side due to the association with death threats.","give the gift of azaleas for: birthdays falling between may 20 and june 20 celebrations for the women in your life urging temperance in someone who is going to excesses telling your family you wish you could visit home reminding someone to take care of themselves the azalea flower’s message is… care for yourself and those around you. never forget where you came from, and stay in control of your emotions and actions for success in life."
Rhododendron,rhododendron,pink,"Shrubs, Trees",low,"Danger; beware; the azalea tends to represent good qualities of personalities, but it also symbolizes specific emotions or events. many people feel this flower means: remembering your home with fondness or wishing to return to it taking care of yourself and your family temperance – the victorians often carried a bloom if they supported the prohibition of alcohol, but it also represents emotional evenness passion that is still developing and fragile elegance and wealth femininity and feminine beauty abundance, especially of beauty or intelligence a death threat – only when sent in a black vase despite being an overwhelmingly positive plant, azaleas still have a dark side due to the association with death threats.","give the gift of azaleas for: birthdays falling between may 20 and june 20 celebrations for the women in your life urging temperance in someone who is going to excesses telling your family you wish you could visit home reminding someone to take care of themselves the azalea flower’s message is… care for yourself and those around you. never forget where you came from, and stay in control of your emotions and actions for success in life."
Rhododendron,rhododendron,purple,"Shrubs, Trees",low,"Danger; beware; the azalea tends to represent good qualities of personalities, but it also symbolizes specific emotions or events. many people feel this flower means: remembering your home with fondness or wishing to return to it taking care of yourself and your family temperance – the victorians often carried a bloom if they supported the prohibition of alcohol, but it also represents emotional evenness passion that is still developing and fragile elegance and wealth femininity and feminine beauty abundance, especially of beauty or intelligence a death threat – only when sent in a black vase despite being an overwhelmingly positive plant, azaleas still have a dark side due to the association with death threats.","give the gift of azaleas for: birthdays falling between may 20 and june 20 celebrations for the women in your life urging temperance in someone who is going to excesses telling your family you wish you could visit home reminding someone to take care of themselves the azalea flower’s message is… care for yourself and those around you. never forget where you came from, and stay in control of your emotions and actions for success in life."
Rhododendron,rhododendron,red,"Shrubs, Trees",low,"Danger; beware; the azalea tends to represent good qualities of personalities, but it also symbolizes specific emotions or events. many people feel this flower means: remembering your home with fondness or wishing to return to it taking care of yourself and your family temperance – the victorians often carried a bloom if they supported the prohibition of alcohol, but it also represents emotional evenness passion that is still developing and fragile elegance and wealth femininity and feminine beauty abundance, especially of beauty or intelligence a death threat – only when sent in a black vase despite being an overwhelmingly positive plant, azaleas still have a dark side due to the association with death threats.","give the gift of azaleas for: birthdays falling between may 20 and june 20 celebrations for the women in your life urging temperance in someone who is going to excesses telling your family you wish you could visit home reminding someone to take care of themselves the azalea flower’s message is… care for yourself and those around you. never forget where you came from, and stay in control of your emotions and actions for success in life."
Rhododendron,rhododendron,white,"Shrubs, Trees",low,"Danger; beware; the azalea tends to represent good qualities of personalities, but it also symbolizes specific emotions or events. many people feel this flower means: remembering your home with fondness or wishing to return to it taking care of yourself and your family temperance – the victorians often carried a bloom if they supported the prohibition of alcohol, but it also represents emotional evenness passion that is still developing and fragile elegance and wealth femininity and feminine beauty abundance, especially of beauty or intelligence a death threat – only when sent in a black vase despite being an overwhelmingly positive plant, azaleas still have a dark side due to the association with death threats.","give the gift of azaleas for: birthdays falling between may 20 and june 20 celebrations for the women in your life urging temperance in someone who is going to excesses telling your family you wish you could visit home reminding someone to take care of themselves the azalea flower’s message is… care for yourself and those around you. never forget where you came from, and stay in control of your emotions and actions for success in life."
Rosemallow,hibiscus,blue,"Annuals, Perennials, Shrubs, Trees",low,"Delicate beauty; although specific meanings for the hibiscus differ depending on the culture of the beholder, there are some generalities about what the hibiscus symbolizes. this is considered a very feminine flower and so is usually given or worn by women. in north america especially, a hibiscus means a perfect wife or woman. in victorian times, giving a hibiscus meant that the giver was acknowledging the receiver’s delicate beauty. in china, hibiscuses symbolize the fleeting and beauty of fame or personal glory. it is given to both men and women.","Hibiscus makes the perfect grand romantic gesture if you’re trying to woo a loved one! Give them to a girlfriend, wife, or even a close friend! They’re also perfect for summer parties"
Rosemallow,hibiscus,orange,"Annuals, Perennials, Shrubs, Trees",low,"Delicate beauty; although specific meanings for the hibiscus differ depending on the culture of the beholder, there are some generalities about what the hibiscus symbolizes. this is considered a very feminine flower and so is usually given or worn by women. in north america especially, a hibiscus means a perfect wife or woman. in victorian times, giving a hibiscus meant that the giver was acknowledging the receiver’s delicate beauty. in china, hibiscuses symbolize the fleeting and beauty of fame or personal glory. it is given to both men and women.","Hibiscus makes the perfect grand romantic gesture if you’re trying to woo a loved one! Give them to a girlfriend, wife, or even a close friend! They’re also perfect for summer parties"
Rosemallow,hibiscus,pink,"Annuals, Perennials, Shrubs, Trees",low,"Delicate beauty; although specific meanings for the hibiscus differ depending on the culture of the beholder, there are some generalities about what the hibiscus symbolizes. this is considered a very feminine flower and so is usually given or worn by women. in north america especially, a hibiscus means a perfect wife or woman. in victorian times, giving a hibiscus meant that the giver was acknowledging the receiver’s delicate beauty. in china, hibiscuses symbolize the fleeting and beauty of fame or personal glory. it is given to both men and women.","Hibiscus makes the perfect grand romantic gesture if you’re trying to woo a loved one! Give them to a girlfriend, wife, or even a close friend! They’re also perfect for summer parties"
Rosemallow,hibiscus,purple,"Annuals, Perennials, Shrubs, Trees",low,"Delicate beauty; although specific meanings for the hibiscus differ depending on the culture of the beholder, there are some generalities about what the hibiscus symbolizes. this is considered a very feminine flower and so is usually given or worn by women. in north america especially, a hibiscus means a perfect wife or woman. in victorian times, giving a hibiscus meant that the giver was acknowledging the receiver’s delicate beauty. in china, hibiscuses symbolize the fleeting and beauty of fame or personal glory. it is given to both men and women.","Hibiscus makes the perfect grand romantic gesture if you’re trying to woo a loved one! Give them to a girlfriend, wife, or even a close friend! They’re also perfect for summer parties"
Rosemallow,hibiscus,red,"Annuals, Perennials, Shrubs, Trees",low,"Delicate beauty; although specific meanings for the hibiscus differ depending on the culture of the beholder, there are some generalities about what the hibiscus symbolizes. this is considered a very feminine flower and so is usually given or worn by women. in north america especially, a hibiscus means a perfect wife or woman. in victorian times, giving a hibiscus meant that the giver was acknowledging the receiver’s delicate beauty. in china, hibiscuses symbolize the fleeting and beauty of fame or personal glory. it is given to both men and women.","Hibiscus makes the perfect grand romantic gesture if you’re trying to woo a loved one! Give them to a girlfriend, wife, or even a close friend! They’re also perfect for summer parties"
Rosemallow,hibiscus,white,"Annuals, Perennials, Shrubs, Trees",low,"Delicate beauty; although specific meanings for the hibiscus differ depending on the culture of the beholder, there are some generalities about what the hibiscus symbolizes. this is considered a very feminine flower and so is usually given or worn by women. in north america especially, a hibiscus means a perfect wife or woman. in victorian times, giving a hibiscus meant that the giver was acknowledging the receiver’s delicate beauty. in china, hibiscuses symbolize the fleeting and beauty of fame or personal glory. it is given to both men and women.","Hibiscus makes the perfect grand romantic gesture if you’re trying to woo a loved one! Give them to a girlfriend, wife, or even a close friend! They’re also perfect for summer parties"
Rosemallow,hibiscus,yellow,"Annuals, Perennials, Shrubs, Trees",low,"Delicate beauty; although specific meanings for the hibiscus differ depending on the culture of the beholder, there are some generalities about what the hibiscus symbolizes. this is considered a very feminine flower and so is usually given or worn by women. in north america especially, a hibiscus means a perfect wife or woman. in victorian times, giving a hibiscus meant that the giver was acknowledging the receiver’s delicate beauty. in china, hibiscuses symbolize the fleeting and beauty of fame or personal glory. it is given to both men and women.","Hibiscus makes the perfect grand romantic gesture if you’re trying to woo a loved one! Give them to a girlfriend, wife, or even a close friend! They’re also perfect for summer parties"
Sage,salvia,blue,"Annuals, Perennials, Shrubs",low,Wisdom; Immortality,"Often, sage is included in bouquets and decorations to honor retirees or celebrate milestones, symbolizing the wisdom gained through years of experience."
Sage,salvia,pink,"Annuals, Perennials, Shrubs",low,Wisdom; Immortality,"Often, sage is included in bouquets and decorations to honor retirees or celebrate milestones, symbolizing the wisdom gained through years of experience."
Sage,salvia,red,"Annuals, Perennials, Shrubs",low,Wisdom; Immortality,"Often, sage is included in bouquets and decorations to honor retirees or celebrate milestones, symbolizing the wisdom gained through years of experience."
Sage,salvia,white,"Annuals, Perennials, Shrubs",low,Wisdom; Immortality,"Often, sage is included in bouquets and decorations to honor retirees or celebrate milestones, symbolizing the wisdom gained through years of experience."
Sampaguita,Jasminum sambac,white,"Perennials, Shrubs",medium,"love fidelity devotion dedication purity divine hope the sampaguita flower is considered the flower of love in many south asian countries, indonesia and the philippines. it is used in wedding and religious ceremonies to symbolize love, devotion, purity and divine hope.","sampaquita flowers are appropriate for weddings and other religious ceremonies, but can also be included in floral bouquets presented to mothers, grandmothers and close female friends to express love and dedication. a bouquet of sampaquita flowers in the bedroom or dining area sets the mood for love and romance. the sampaguita flower’s message is: the sampaguita flower’s message is one of love and devotion and are sure to be appreciated by the special women in your life."
sea aster,aster,blue,Perennials,medium,Symbol of love; Daintiness; patience love of variety elegance daintiness afterthought (or the wish things happened differently),"Aster makes the perfect addition to any flower arrangement, but are most commonly used as a September birthday gift or 20th wedding anniversary gift!"
sea aster,aster,purple,Perennials,medium,Symbol of love; Daintiness; patience love of variety elegance daintiness afterthought (or the wish things happened differently),"Aster makes the perfect addition to any flower arrangement, but are most commonly used as a September birthday gift or 20th wedding anniversary gift!"
sea aster,aster,red,Perennials,medium,Symbol of love; Daintiness; patience love of variety elegance daintiness afterthought (or the wish things happened differently),"Aster makes the perfect addition to any flower arrangement, but are most commonly used as a September birthday gift or 20th wedding anniversary gift!"
sea aster,aster,white,Perennials,medium,Symbol of love; Daintiness; patience love of variety elegance daintiness afterthought (or the wish things happened differently),"Aster makes the perfect addition to any flower arrangement, but are most commonly used as a September birthday gift or 20th wedding anniversary gift!"
sea aster,aster,yellow,Perennials,medium,Symbol of love; Daintiness; patience love of variety elegance daintiness afterthought (or the wish things happened differently),"Aster makes the perfect addition to any flower arrangement, but are most commonly used as a September birthday gift or 20th wedding anniversary gift!"
Snapdragon,antirrhinum,green,Annuals,low,"Deception; Graciousness; snapdragons possess two meanings. this is similar to the mythical creature they resemble, revered in some cultures and feared in others: a snapdragon means grace and, due to its growth in rocky areas, strength. however, it can also symbolize deviousness.","This symbolism of strength is one reason why they’re popular gifts for people going through challenging times. Whether it’s the loss of a job, a stressful move, or an illness in the family, a bouquet of snapdragons reminds us of the strength we possess.This desire applies to both platonic and romantic circumstances. Therefore, snapdragons are a great way to let someone know you find them intriguing, whether you want to develop a friendship or explore the possibility of a relationship."
Snapdragon,antirrhinum,orange,Annuals,low,"Deception; Graciousness; snapdragons possess two meanings. this is similar to the mythical creature they resemble, revered in some cultures and feared in others: a snapdragon means grace and, due to its growth in rocky areas, strength. however, it can also symbolize deviousness.","This symbolism of strength is one reason why they’re popular gifts for people going through challenging times. Whether it’s the loss of a job, a stressful move, or an illness in the family, a bouquet of snapdragons reminds us of the strength we possess.This desire applies to both platonic and romantic circumstances. Therefore, snapdragons are a great way to let someone know you find them intriguing, whether you want to develop a friendship or explore the possibility of a relationship."
Snapdragon,antirrhinum,pink,Annuals,low,"Deception; Graciousness; snapdragons possess two meanings. this is similar to the mythical creature they resemble, revered in some cultures and feared in others: a snapdragon means grace and, due to its growth in rocky areas, strength. however, it can also symbolize deviousness.","This symbolism of strength is one reason why they’re popular gifts for people going through challenging times. Whether it’s the loss of a job, a stressful move, or an illness in the family, a bouquet of snapdragons reminds us of the strength we possess.This desire applies to both platonic and romantic circumstances. Therefore, snapdragons are a great way to let someone know you find them intriguing, whether you want to develop a friendship or explore the possibility of a relationship."
Snapdragon,antirrhinum,purple,Annuals,low,"Deception; Graciousness; snapdragons possess two meanings. this is similar to the mythical creature they resemble, revered in some cultures and feared in others: a snapdragon means grace and, due to its growth in rocky areas, strength. however, it can also symbolize deviousness.","This symbolism of strength is one reason why they’re popular gifts for people going through challenging times. Whether it’s the loss of a job, a stressful move, or an illness in the family, a bouquet of snapdragons reminds us of the strength we possess.This desire applies to both platonic and romantic circumstances. Therefore, snapdragons are a great way to let someone know you find them intriguing, whether you want to develop a friendship or explore the possibility of a relationship."
Snapdragon,antirrhinum,red,Annuals,low,"Deception; Graciousness; snapdragons possess two meanings. this is similar to the mythical creature they resemble, revered in some cultures and feared in others: a snapdragon means grace and, due to its growth in rocky areas, strength. however, it can also symbolize deviousness.","This symbolism of strength is one reason why they’re popular gifts for people going through challenging times. Whether it’s the loss of a job, a stressful move, or an illness in the family, a bouquet of snapdragons reminds us of the strength we possess.This desire applies to both platonic and romantic circumstances. Therefore, snapdragons are a great way to let someone know you find them intriguing, whether you want to develop a friendship or explore the possibility of a relationship."
Snapdragon,antirrhinum,white,Annuals,low,"Deception; Graciousness; snapdragons possess two meanings. this is similar to the mythical creature they resemble, revered in some cultures and feared in others: a snapdragon means grace and, due to its growth in rocky areas, strength. however, it can also symbolize deviousness.","This symbolism of strength is one reason why they’re popular gifts for people going through challenging times. Whether it’s the loss of a job, a stressful move, or an illness in the family, a bouquet of snapdragons reminds us of the strength we possess.This desire applies to both platonic and romantic circumstances. Therefore, snapdragons are a great way to let someone know you find them intriguing, whether you want to develop a friendship or explore the possibility of a relationship."
