name,meaning,Special Occasions,scientific_name
Narcissus,"since both narcissus and daffodils technically same flower, their meanings overlap as well. these flowers usually considered symbol of: prosperity and wealth, especially in future march birthdays, as birth flower month arrival spring rebirth and renewal good luck and happiness future misfortune narcissism and egotism austerity and challenges lent clarity and inspiration chinese new year not all narcissus meanings strictly positive. you tell friend you’re hoping for their success with potted plant, or you warn them about an ego that’s growing out control.","there’s flower for every occasion. pick few daffodils or narcissus for events like: cheering up friend or family member after loss reminding someone spring on its way encouraging recovery from an illness or period depression graduation or first job, due association with gaining wealth in future baby showers and birth celebrations narcissus flower’s message is… nothing bad last forever because spring always just around corner. you recover from anything if you focus on positive, and good things already on their way you.",
Orchid,orchid been held in high regard since ancient times. symbolizes love beauty fertility refinement thoughtfulness charm,,
Peace Flower.Txt,"even though meanings behind various flowers have largely fallen out common knowledge, it’s still possible bring nostalgic practice modern relationships. full bouquet. nothing says grand gesture like sending someone full bouquet at home or work. try mixing few other flowers with relevant meanings in for special touch. single flower. leaving single bloom one these flowers for recipient find an understated take on tradition. live plant. giving someone live plant represents peace means they plant flower and be reminded peace and your thoughtfulness every time they see it.",,
Peony,"peony mainly known for representing ideas and values like: honor, especially for people who bringing honor their entire family through success wealth and riches romance and romantic love, with particular focus on love between two strangers beauty in all forms bashfulness and shame",,Paeonia
Periwinkle Flower.Txt,"common periwinkle evokes feelings blossoming friendship still in its first stages reminiscing about pleasant memories shared with friend or relative reaching your full potential and achieving your dreams existence throughout eternity, and extending your time with you love everlasting love purity and strength virgin mary.",,
Petunia.Txt,"meaning petunias be contradictory, leading some confusion – but remember meaning any flower depends on circumstances and relationship between giver and recipient. petunia flower meaning also affected by color flowers. some commonly accepted meanings for petunia flowers include: anger resentment being with you soothing","potted petunias appropriate for housewarmings or as hostess gifts. they often presented at mother’s day or other spring celebrations. they appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as plants will produce abundant flowers from spring until frost. petunia flower’s message is… petunia flower’s message depends on circumstances. they make thoughtful gift for those who enjoy outside flowers, but not practical for an inside display for more than few days. consider potted petunias as hostess gifts or present them someone who just moved into neighborhood.",
Plumeria,"plumeria flower rich history includes wide variety meanings, including: charm grace new life or birth new beginnings or creation spring beauty",,
Poppy,"for many cultures, poppy symbol of: restful sleep and recovery consolation for loss or death in family remembering fallen various wars and armed conflicts lively imagination peace in death messages delivered in dreams resurrection and eternal life beauty and success extravagance and luxury symbolism poppy varies greatly from country country, but most them share at least one or two common meanings for particular flower.","since flowers large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give gift poppy for occasions like: funerals and memorial services, especially for soldiers pass away while serving or veterans encouraging better sleep in friends and family members experiencing insomnia making an offering dead by leaving flowers on graves or tombs sending sign your love spouse or romantic interest setting up luxurious atmosphere for specific event poppy flower’s message is… remember those who have passed away protect you and all you love. develop your own sense inner peace so you rest at night and get all sleep you need. honor dead and cultivate your imagination for richer life.",Papaver
Protea,"protea flower means depends on circumstances and relationship between giver and receiver, but some commonly agreed upon meanings for protea flower. diversity daring transformation courage","some varieties protea flowers make delightful backdrop for other more showy flowers, while some take center stage as cut flower. they be used in bridal bouquets or wedding décor, at special celebrations, and for birthdays and other special events. protea flower’s message varies according setting, but one thing for sure, these striking flowers aren’t likely be forgotten. make lasting impression, try adding protea flowers floral displays and arrangements or send them special someone on your list.",
Ranunculus Flower.Txt,"while many flowers have multiple meanings, ranunculus flower does not. means: radiant charm you charming you attractive",,
Rose,"rose many meanings which vary depending on its color. however any rose be commonly seen as symbol of: love honor faith beauty balance passion wisdom intrigue devotion sensuality timelessness in addition being one most popular flowers commercialized and grown today, you will often find rose tattoos on women and men as an expression timeless beauty and other vivid meanings.",,Rosa
Sampaguita,"love fidelity devotion dedication purity divine hope sampaguita flower considered flower love in many south asian countries, indonesia and philippines. used in wedding and religious ceremonies symbolize love, devotion, purity and divine hope.","sampaquita flowers appropriate for weddings and other religious ceremonies, but also be included in floral bouquets presented mothers, grandmothers and close female friends express love and dedication. bouquet sampaquita flowers in bedroom or dining area sets mood for love and romance. sampaguita flower’s message is: sampaguita flower’s message one love and devotion and sure be appreciated by special women in your life.",
Snapdragon,"snapdragons possess two meanings. similar mythical creature they resemble, revered in some cultures and feared in others: snapdragon means grace and, due its growth in rocky areas, strength. however, also symbolize deviousness.",,Antirrhinum
Snowdrop,snowdrop flower several meanings depending on context. most common meanings are: purity hope rebirth consolation or sympathy,"snowdrops appropriate either as an expression sympathy or as an expression celebration. presented wedding party, floral display with snowdrops speaks optimism and hope. they symbolize sympathy given on solemn occasion such as after death, loss or misfortune. snowdrop flower’s message is: snowdrop flower’s message typically positive, signifying hope, rebirth and bright future.",
Star Of Bethlehem Meaning.Txt,"star bethlehem flower associated with birth christ and symbolizes traits jesus. innocence purity honesty hope forgiveness often used in religious ceremonies as symbol christ child, but be used for other occasions, too.","star bethlehem flower appropriate in nearly any floral arrangement from weddings and christenings birthdays and anniversaries. star bethlehem flower’s message is… star bethlehem flower’s message carries with hope for future, innocence, purity, trust and honesty making an ideal flower for adding wedding décor and bridal bouquets.",
Stargazer Meaning.Txt,,"aside from 30th anniversary, you should also invest in bunch stargazers your family home needs breath fresh air due pessimistic atmosphere. keep fresh vase flowers on your desk at work stay motivated working towards your future. finally, consider using bloom celebrate graduation high school or college student. stargazer flower’s message is… stargazer flower’s message keep your eyes on heavens instead always staring at ground. stay positive and watch as world changes around you.",
Statice.Txt,"meaning statice flower depends on occasion or event, but some commonly accepted meanings for statice. remembrance sympathy success statice’s primary meaning one remembrance, making common flower in memorial wreaths and bouquets.","statice versatile flower appropriate for nearly any occasion, particularly used as filler in mixed floral arrangements. these flowers work well for reunions, get-togethers among old friends or for birthdays and other celebrations. they common in funeral flowers or for memorial services, but they don’t need be part solemn event, as they symbolize success as well as remembrance. tucked into floral arrangements add delicate color, these flowers right at home in office bouquets or for special events like graduations and other achievements. statice flower’s message statice flower’s message varies depending on circumstances. while express sympathy and fond memories, also be symbol for success. use meaning flower colors and other flowers in arrangement guide you in choosing in bouquet with statice flowers.",
Stock Flower.Txt,"stock flower attracts attention for both its distinctive blossoms and delicate and wonderful scent releases. aside from its physical characteristics, plant popular as symbol long life full happiness and success contentment with your life way right now beauty doesn’t fade with age or time achieving paradise on earth dedicating oneself life spiritual purity connecting with world as one.","stock ideal for first communions weddings anniversaries and birthdays positive life changes like relocations and new children. stock flower’s message is… enjoy life you have before gone. love and beauty and both eternal, if you believe in them.",
Tulip,"while it’s not fanciest flower in garden, beauty and grace simple tulips means flower become symbol for meanings like: perfect, enduring love between partners or family members undying passionate love, whether passion spurned or returned royalty and regal nature forgotten or neglected love 11th wedding anniversary abundance, prosperity, and indulgence charity and supporting less fortunate",,Tulipa
Wisteria Flower.Txt,"wisteria been growing in eastern us and asia for centuries now, so accumulated plenty contrasting and complementing meanings. some people believe wisteria symbolizes good luck, especially for start business or new marriage welcoming someone new town or home celebrating youthful vitality young friend or child expressing your affections after meeting someone special for first time serious devotion, whether it’s cause or another person new births and spring birthdays wisteria isn’t specific birth flower for any months, but many people associate with march and april because blooms during those months.","celebrate new family member by sending in bundle blossoms, or give blue wisteria as “something blue” for wedding tradition. wisteria flower’s message is… wisteria flower’s message let good luck make your adventures go little smoother. celebrate new beginnings in life instead focusing on endings.",
Zinnia,"? zinnia flower several meanings including thoughts friends, endurance, daily remembrance, goodness and lasting affection. victorian meaning zinnias thoughts an absent friend heart lasting affection daily remembrance",,Zinnia
